	감귤	41500	상	   3	   3키로상자	11435	15466	21891	73.9363765679555153239363765679555153239	52.2360787538257731487826047234023114522	상	키로상자	1	01
	감귤	41500	중	   3	   3키로상자	7236	9881	17031	73.2314543062443072563505718044732314543	42.4872291703364453056191650519640655276	중	키로상자	2	01
	감귤	41500	하	   3	   3키로상자	5098	6480	11062	78.6728395061728395061728395061728395062	46.085698788645814500090399566082082806	하	키로상자	3	01
	감귤	41500	특	   5	   5키로상자	19049	17772	23076	107.185460274589241503488633805986945757	82.5489686254116831339920263477205754897	특	키로상자	0	01
	감귤	41500	상	   5	   5키로상자	11955	12087	15931	98.9079175974187143211715065773144700918	75.0423702215805661917017136400728140104	상	키로상자	1	01
	감귤	41500	중	   5	   5키로상자	8261	8266	10664	99.9395112509073312363900314541495281878	77.4662415603900975243810952738184546137	중	키로상자	2	01
	감귤	41500	하	   5	   5키로상자	5712	5574	6884	102.475780409041980624327233584499461787	82.9750145264381173736199883788495061011	하	키로상자	3	01
	감귤	41500	특	  10	  10키로상자	19920	20604	60000	96.6802562609202096680256260920209668026	33.2	특	키로상자	0	01
	감귤	41500	상	  10	  10키로상자	14672	14535	26599	100.942552459580323357413140694874441004	55.1599684198654084740027820594759201474	상	키로상자	1	01
	감귤	41500	중	  10	  10키로상자	10613	11280	17136	94.0868794326241134751773049645390070922	61.9339402427637721755368814192343604108	중	키로상자	2	01

	감귤	41500	상	   3	   3키로상자	15397	15466	21891	99.5538600801758696495538600801758696496	70.3348408021561372253437485724727056781	상	키로상자	1	01
	감귤	41500	중	   3	   3키로상자	7069	9881	17031	71.541341969436291873292176905171541342	41.5066643180083377370677000763313956902	중	키로상자	2	01
	감귤	41500	하	   3	   3키로상자	4395	6480	11062	67.8240740740740740740740740740740740741	39.7306092930753932381124570602061110107	하	키로상자	3	01
	감귤	41500	특	   5	   5키로상자	18567	17772	23076	104.473328831870357866306549628629304524	80.4602184087363494539781591263650546022	특	키로상자	0	01
	감귤	41500	상	   5	   5키로상자	10969	12087	15931	90.7503929841978985687101844957392239596	68.8531793358860084112736174753625007846	상	키로상자	1	01
	감귤	41500	중	   5	   5키로상자	6975	8266	10664	84.3818049842729252359061214614081780789	65.4069767441860465116279069767441860465	중	키로상자	2	01
	감귤	41500	하	   5	   5키로상자	4399	5574	6884	78.9199856476498026551847865087908144959	63.9018012783265543288785589773387565369	하	키로상자	3	01
	감귤	41500	특	  10	  10키로상자	18234	20604	60000	88.4973791496796738497379149679673849738	30.39	특	키로상자	0	01
	감귤	41500	상	  10	  10키로상자	12678	14535	26599	87.2239422084623323013415892672858617131	47.6634459942103086582202338433775705854	상	키로상자	1	01
	감귤	41500	중	  10	  10키로상자	8328	11280	17136	73.8297872340425531914893617021276595745	48.5994397759103641456582633053221288515	중	키로상자	2	01

	감귤	41500	상	   3	   3키로상자	15397	15466	21891	99.5538600801758696495538600801758696496	70.3348408021561372253437485724727056781	상	키로상자	1	01
	감귤	41500	중	   3	   3키로상자	7069	9881	17031	71.541341969436291873292176905171541342	41.5066643180083377370677000763313956902	중	키로상자	2	01
	감귤	41500	하	   3	   3키로상자	4395	6480	11062	67.8240740740740740740740740740740740741	39.7306092930753932381124570602061110107	하	키로상자	3	01
	감귤	41500	특	   5	   5키로상자	18567	17772	23076	104.473328831870357866306549628629304524	80.4602184087363494539781591263650546022	특	키로상자	0	01
	감귤	41500	상	   5	   5키로상자	10969	12087	15931	90.7503929841978985687101844957392239596	68.8531793358860084112736174753625007846	상	키로상자	1	01
	감귤	41500	중	   5	   5키로상자	6975	8266	10664	84.3818049842729252359061214614081780789	65.4069767441860465116279069767441860465	중	키로상자	2	01
	감귤	41500	하	   5	   5키로상자	4399	5574	6884	78.9199856476498026551847865087908144959	63.9018012783265543288785589773387565369	하	키로상자	3	01
	감귤	41500	특	  10	  10키로상자	18234	20604	60000	88.4973791496796738497379149679673849738	30.39	특	키로상자	0	01
	감귤	41500	상	  10	  10키로상자	12678	14535	26599	87.2239422084623323013415892672858617131	47.6634459942103086582202338433775705854	상	키로상자	1	01
	감귤	41500	중	  10	  10키로상자	8328	11280	17136	73.8297872340425531914893617021276595745	48.5994397759103641456582633053221288515	중	키로상자	2	01

